IOC_2020_Orders,IOC_2020_Species,IOC_2020_Binomial,Categories_feeding,Dive score,,Max_dive_depth,Avg_max_depth,Max_duration (s),Avg_max_dur,Method,Reference_depth,Reference_duration,,,,,Notes,,,
Procellariiformes,Black-footed Albatross,Phoebastria_nigripes,Surface seizing,1,,2.5,0.6,,7,Cefas G5,Kazama et al. 2019 Ornithol Sci 18: 27-37,Kazama et al. 2019 Ornithol Sci 18: 27-37,,,,,Max duration must be a recording error,,,
Procellariiformes,White-chinned Petrel,Procellaria_aequinoctialis,Pursuit plunging,2,,16.1,8.9,22,4.6,TDR,Rollinson et al. 2014 Polar Biol 37: 1301-1308,Rollinson et al. 2014 Polar Biol 37: 1301-1308,,,,,,,,
Procellariiformes,Atlantic Petrel,Pterodroma_incerta,Surface seizing,1,,,,,,,,,,,,,,,,
Procellariiformes,Soft-plumaged Petrel,Pterodroma_mollis,Surface seizing,1,,,,,,,,,,,,,,,,
Procellariiformes,Great Shearwater,Ardenna_gravis,Pursuit plunging,3,,18.9,14.5,40,7.9,TDR,Ronconi et al. 2010 Plos One 5: e15508,Ronconi et al. 2010 Plos One 5: e15508,,,,,"Feel justified to go deeper; small sample size, large body size",,,
Procellariiformes,Sooty Shearwater,Ardenna_grisea,Pursuit plunging,3,,69.9,48.1,100,39.7,Lotek,Shaffer et al. 2009 MEPS 391: 209-220,Dunphy et al. 2015 MEPS 532: 187-198,,,,,,,,
Procellariiformes,Shy Albatross,Thalassarche_cauta,Surface seizing,1,,7.4,3.3,19,7.7,TDR,Hedd et al. 1997 Ibis 139: 452-460,Hedd et al. 1997 Ibis 139: 452-460,,,,,,,,
Procellariiformes,Atlantic Yellow-nosed Albatross,Thalassarche_chlororhynchos,Surface seizing,1,,,,,,,,,,,,,,,,
Procellariiformes,Black-browed Albatross,Thalassarche_melanophris,Surface seizing,1,,4.1,1.46,11,3.1,still-camera system,Sakamoto et al. 2009 PLoS ONE 4: e7322,Sakamoto et al. 2009 PLoS ONE 4: e7322,,,,,,,,
Sphenisciformes,King Penguin,Aptenodytes_patagonicus,Pursuit diving,4,,343,274.4,552,450,TDR,Pütz & Cherel 2005 Mar Biol 147: 281-290,Pütz et al. 1998 Ecology 79: 1905-1921,,,,,,,,
Sphenisciformes,Macaroni Penguin,Eudyptes_chrysolophus,Pursuit diving,4,,163,125,377,193,TDR,Green et al. 1998 Mar Ornithol 26: 27-34,Croxall et al. 1993 J Zool 230: 31-47,,,,,,,,
Sphenisciformes,Adelie Penguin,Pygoscelis_adeliae,Pursuit diving,4,,180,118.7,354,120.8,TDR,Watanuki et al. 1997 Polar Biol 17: 296-304,Norman & Ward 1993 Mar Ornithol 21: 37-47,,,,,,,,
Sphenisciformes,Chinstrap Penguin,Pygoscelis_antarcticus,Pursuit diving,4,,179,92.5,219,115,TDR,Takahashi et al. 2003 MEPS 250: 279-289,Takahashi et al. 2003 MEPS 250: 279-289,,,,,,,,
Sphenisciformes,Gentoo Penguin,Pygoscelis_papua,Pursuit diving,4,,225,68,545,202.7,TDR,Lescroël & Bost 2005 MEPS 302: 245-261,Lescroël & Bost 2005 MEPS 302: 245-261,,,,,,,,
